id,title,date4,time3,author,counts,sometext,category,date2
82,"Смартфон Moto Z4 на платформе Snapdragon 675 представлен официально, цена — $500",2019-05-30,Обновлено: 30.05.2019 в 20:37,Владимир Скрипин,71,"Компания Motorola, сейчас принадлежащая китайской Lenovo, сегодня официально представила смартфон Moto Z4. Да, тот самый Moto Z4, который ранее на этой неделе Amazon по ошибке продал покупателю. По…","
Новости
",08:37 PM 30/05/2019
113,Астрономы считают интернет-спутники SpaceX Starlink угрозой для космических исследований,2019-05-30,Обновлено: 30.05.2019 в 07:46,Игорь Мозуль,69,"На прошлой неделе компания SpaceX вывела на орбиту первые 60 спутников системы глобального интернета Starlink, однако астрономы уже видят в этом серьёзную проблему для наземной астрономии. Джонатан…","
Новости
",07:46 AM 30/05/2019
85,"Первый трейлер боевика Rambo: Last Blood / «Рэмбо: Последняя кровь» с Сильвестром Сталлоне, премьера назначена на 20 сентября 2019 года",2019-05-30,Обновлено: 30.05.2019 в 18:27,Сергей Кулеш,65,"На улице фанатов старых добрых боевиков очередной праздник — после возвращения легендарного Арнольда Шварценеггера к роли Терминатора в грядущем фильме Terminator: Dark Fate, стариной решил…","
Блоги
",06:27 PM 30/05/2019
95,Apple запатентовала гибкий iPhone и новую версию обложки Smart Keyboard Folio с клавиатурой и тачпадом,2019-05-30,Обновлено: 30.05.2019 в 15:36,Сергей Кулеш,29,"Очевидно, что после анонса гибкого смартфона Samsung Galaxy Fold все остальные производители мобильных устройств рано или поздно представят собственные версии подобных гаджетов. Патент от Apple…","
Новости
",03:24 PM 30/05/2019
81,"Call of Duty: Modern Warfare прибывает 25 октября на PlayStation 4, Xbox One и PC",2019-05-30,Обновлено: 30.05.2019 в 23:45,Игорь Мозуль,86,"Activision анонсировала следующую часть Call of Duty, которая получила название Call of Duty: Modern Warfare, точно такое же, как у игры 2007 года. Её релиз на PlayStation 4, Xbox One и PC назначен на 25 октября этого года. Новая…","
Новости
",11:45 PM 30/05/2019
104,Новый рендер показывает расположение камер в смартфоне Samsung Galaxy Note10,2019-05-30,Обновлено: 30.05.2019 в 12:22,Вадим Карпусь,66,"Официальный анонс смартфона Samsung Galaxy Note10 всё ближе, и всё больше утечек рассказывает об этом устройстве. На этот раз нашему вниманию предлагают рендерные изображения лицевой и задней…","
Новости
",12:22 PM 30/05/2019
91,«Райффайзен Банк Аваль» и Visa предлагают украинским предпринимателям консьерж-сервис в виде чат-бота,2019-05-30,Обновлено: 30.05.2019 в 16:34,Вадим Карпусь,67,"«Райффайзен Банк Аваль» и платёжная система Visa сообщили о запуске уникального для украинского рынка продукта для предпринимателей, являющихся клиентами банка, — Чат-бот Консьерж-сервис…","
Новости
",04:51 PM 30/05/2019
96,"Долгожданная игра Хидэо Кодзимы «Death Stranding» выйдет 8 ноября 2019 года, опубликован финальный трейлер и детали предзаказа",2019-05-30,Обновлено: 30.05.2019 в 14:41,Сергей Кулеш,112,Хидэо Кодзима наконец объявил дату выхода долгожданной игры Death Stranding и показал новый трейлер проекта. Впервые анонсированный еще в 2016 году проект выйдет эксклюзивно на консоли PS4 уже 8 ноября…,"
Блоги
",02:41 PM 30/05/2019
83,В Google Maps появились уведомления об ограничении скорости и расположении радаров контроля скорости,2019-05-30,Обновлено: 30.05.2019 в 19:10,Вадим Карпусь,96,"После ограниченных тестов в США и некоторых других странах, сервис Google Maps запустил возможность уведомлений об ограничении скорости и расположении стационарных и мобильных радаров контроля…","
Новости
",07:15 PM 30/05/2019
105,Alaka’i Technologies называет Skai первым летающим такси на водороде,2019-05-30,Обновлено: 30.05.2019 в 11:46,Владимир Скрипин,17,"Разработку беспилотных летающих такси сейчас ведет множество разных технологических и авиастроительных компаний, включая Uber, Airbus, Aston Martin, Rolls-Royce, Volocopter и Kitty Hawk Cora. Новое имя в этом приличном…","
Новости
",11:46 AM 30/05/2019
107,В Китае стартовало массовое производство компактных робокурьеров,2019-05-30,Обновлено: 30.05.2019 в 10:40,Кирилл Иртлач,17,"Китайский стартап Neolix, открывший на днях собственный завод площадью 13 600 м², запускает массовое производство компактных автономных фургонов для доставки. Среди клиентов компании — JD.Com и Huawei.…","
Блоги
",10:40 AM 30/05/2019
86,"Apple, Google, Microsoft и WhatsApp выступили против британского правительства, которое захотело иметь возможность читать зашифрованные сообщения",2019-05-30,Обновлено: 31.05.2019 в 13:55,Вадим Карпусь,11,Крупные технологические компании уже давно сопротивляются попыткам правительственных органов получать доступ к сообщениям и беседам в чате пользователей. Очередным шагом в этой борьбе…,"
Новости
",06:09 PM 30/05/2019
93,Galaxy A10 — обзор бюджетного смартфона Samsung,2019-05-30,Обновлено: 30.05.2019 в 15:50,Виталий Матвиенко,29,"Сегодня я расскажу о младшем смартфоне из обновленной линейки Galaxy A — Samsung Galaxy A10. Чтобы уменьшить стоимость модели производитель пошел на ряд упрощений, но это не коснулось дизайна, он…","
Обзоры
",04:00 PM 30/05/2019
89,"Microsoft представила сервис Xbox Game Pass для ПК, в библиотеку войдут более 100 игр от 75 геймстудий и издателей",2019-05-30,Обновлено: 30.05.2019 в 17:19,Сергей Кулеш,46,"Компания Microsoft расширила свой подписочный сервис Xbox Game Pass с консолей на ПК. Таким образом, теперь и обладатели Windows-систем смогут играть в избранные игры, не приобретая их, а оплачивая…","
Новости
",05:17 PM 30/05/2019
102,Прямой конкурент Redmi 7A: Смартфон Samsung Galaxy A10e протестирован в Geekbench,2019-05-30,Обновлено: 30.05.2019 в 16:29,Владимир Скрипин,23,"Сейчас самой доступной моделью обновленной линейки смартфонов Samsung Galaxy A  в данный момент является Galaxy A10, но вскоре он по аналогии с Galaxy A20 получит младшего брата в лице Galaxy A10e, который должен…","
Новости
",12:55 PM 30/05/2019
109,"Смартфон Samsung Galaxy M40 (конкурент Redmi K20) показался на качественном изображении, он получит тройную камеру с основным модулем на 32 Мп и врезанную в экран селфи-камеру на 16 Мп",2019-05-30,Обновлено: 30.05.2019 в 10:27,Владимир Скрипин,103,"11 июня Samsung представит в Индии смартфон Galaxy M40, который на какое-то время возглавит новую бюджетную серию южнокорейского производителя. Мы уже успели узнать почти все технические…","
Новости
",09:44 AM 30/05/2019
111,"Готова спецификация PCIe 5.0, обеспечивающая пропускную способность 32 ГТ/с. Это вдвое больше возможностей PCIe 4.0",2019-05-30,Обновлено: 30.05.2019 в 08:38,Владимир Скрипин,39,"Как известно, представленные на днях семинанометровые настольные процессоры AMD Ryzen 3000, кроме прочего, выделяются поддержкой интерфейса PCIe 4.0 с удвоенной пропускной способностью по сравнению…","
Новости
",08:38 AM 30/05/2019
99,"«Я старий і більше не працюю»: В киевском метро начали отключать автоматы по продаже жетонов, до их исчезновения остается 155 дней",2019-05-30,Обновлено: 30.05.2019 в 17:52,Сергей Кулеш,266,"Киевский метрополитен начал отключать автоматы по продаже жетонов и напомнил, что до полного исчезновения этого способа оплаты остается ровно 155 дней. На автоматах появились наклейки «Я…","
Новости
",01:53 PM 30/05/2019
100,4 приложения для общения с носителями языка,2019-05-30,Обновлено: 30.05.2019 в 13:50,Наталья Супрунюк,13,"Для изучения любого языка очень важно практиковаться на нем разговаривать, а тем более хорошо, когда это можно делать с его носителем. Поэтому мы собрали 4 приложения, которые помогут найти…","
Статьи
",01:32 PM 30/05/2019
94,"Компания BMW анонсировала электросамокат. Эксперты, однако, говорят, что лучше бы она этого не делала",2019-05-30,Обновлено: 30.05.2019 в 16:59,Кирилл Иртлач,50,"Немецкий автогигант BMW представил электрический самокат E-Scooter, разработанный в сотрудничестве с компанией Micro. Компактное транспортное средство массой 9 кг, предназначенное для городских…","
Блоги
",03:40 PM 30/05/2019
106,Dell показала доступный игровой ноутбук Dell G3 15 и пару флагманских гарнитур для геймеров,2019-05-30,Обновлено: 30.05.2019 в 10:40,Вадим Карпусь,15,Во время проведения выставки Сomputex 2019 компания Dell продемонстрировала несколько новых игровых устройств. Об обновлённых игровых ноутбуках Alienware m15 и m17 мы уже рассказывали в одном из…,"
Новости
",11:11 AM 30/05/2019
110,Qualcomm показала референсный дизайн VR-гарнитуры на базе SoC Snapdragon XR1,2019-05-30,Обновлено: 30.05.2019 в 08:44,Игорь Мозуль,4,"В прошлом году Qualcomm представила чип Snapdragon XR1 для устройств виртуальной реальности, но до сих пор мы так и не увидели ни одной гарнитуры, созданной на базе этой платформы. Теперь в рамках…","
Новости
",09:16 AM 30/05/2019
121,Intel NUC Compute Element – очередная попытка компании сделать модульные ПК реальностью,2019-05-29,Обновлено: 29.05.2019 в 16:42,Вадим Карпусь,21,"Компания Intel создала новое устройство под названием NUC Compute Element. Идея такого устройства заключается в том, чтобы разместить ключевые компоненты компьютера в небольшом модульном элементе,…","
Новости
",04:58 PM 29/05/2019
123,Утечка скриншотов демонстрирует тёмный режим iOS 13 и обновлённые приложения,2019-05-29,Обновлено: 29.05.2019 в 15:02,Вадим Карпусь,80,"Как ожидается, следующая версия мобильной операционной системы iOS 13 получит тёмный режим работы. И несмотря на то, что до официального выхода этой операционной системы осталось ещё несколько…","
Новости
",03:02 PM 29/05/2019
127,Rapoo MT750S — обзор беспроводной мыши,2019-05-29,Обновлено: 29.05.2019 в 15:34,Виталий Богданов,68,"Для того, чтобы быть удобной и функциональной, мыши вовсе не обязательно быть дорогой. Именно это можно сказать о Rapoo MT750S, которая может работать на разных покрытиях, поддерживает до трех…","
Обзоры
",01:34 PM 29/05/2019
117,MediaTek анонсировала чипсет с поддержкой 5G для смартфонов среднего и бюджетного сегментов,2019-05-29,Обновлено: 29.05.2019 в 17:59,Вадим Карпусь,8,"Пока что поддержка нового высокоскоростного стандарта связи 5G внедряется лишь во флагманских мобильных устройствах. Однако компания MediaTek работает над тем, чтобы доступ к стандарту 5G смогли…","
Новости
",06:47 PM 29/05/2019
130,"Умные часы Samsung Galaxy Watch, Gear Sport и Gear S3 получили новейшую оболочку One UI",2019-05-29,Обновлено: 29.05.2019 в 13:01,Владимир Скрипин,61,"Компания Samsung сообщила о выпуске крупного обновления прошивки для нескольких моделей умных часов. В частности, новая прошивка стала доступна для Galaxy Watch, Gear Sport и Gear S3. Обновление приносит…","
Новости
",12:46 PM 29/05/2019
124,"По уровню ARPU в первом квартале lifecell занял премиум-нишу, Vodafone опустился в бюджетный сегмент, а Киевстар стал «золотой серединой»",2019-05-29,Обновлено: 30.05.2019 в 15:44,Сергей Кулеш,112,Финансовые итоги украинских мобильных операторов за первый квартал текущего года продемонстрировали весьма интересную ситуацию со средним доходом на одного абонента в месяц (ARPU). Впервые…,"
Новости
",02:51 PM 29/05/2019
